trx_code,trx_id,rek_code,rek,creationdate,type,amount,balance
50261,100085,1922,2526,2022-02-07 16:41:44+07:00,5,-100000.0,37.14
50260,100001,1922,2526,2022-02-07 16:02:58+07:00,5,-100000.0,100037.14
154447,775749,2346,9437,2022-03-07 08:53:06+07:00,5,-1000000.0,1679999.69
50285,564858,2346,9437,2022-03-03 18:41:16+07:00,1,100000.0,2609999.69
154240,565293,2212,5908,2022-03-03 20:22:31+07:00,1,100000.0,1200526.93
23623,562983,2346,9437,2022-03-03 10:48:20+07:00,1,1960000.0,2561201.69
23624,562986,2346,9437,2022-03-03 10:48:39+07:00,5,-1202.0,2559999.69
23626,564222,2346,9437,2022-03-03 16:03:43+07:00,5,-50000.0,2509999.69
23406,105839,2212,5908,2022-02-09 17:37:58+07:00,5,-50000.0,550000.0
23407,105845,2212,5908,2022-02-09 17:38:16+07:00,5,-450000.0,100000.0
50283,563310,2212,5908,2022-03-03 12:06:55+07:00,1,500000.0,1100526.93
145169,1274076,2212,5908,2022-03-15 06:35:02+07:00,5,-1455000.0,31570.93
148936,3360571,3799,7665,2022-04-23 10:55:11+07:00,5,-49001.0,1000.0
148937,3360592,3799,7665,2022-04-23 10:57:40+07:00,1,48000.0,49000.0
148938,3360601,3799,7665,2022-04-23 10:58:05+07:00,1,1.0,49001.0
146778,3169399,2212,5908,2022-04-11 20:25:06+07:00,1,90000.0,91021.95
148934,3358183,1922,2526,2022-04-23 06:48:54+07:00,5,-3000000.0,502718.01
119310,3366559,1922,2526,2022-04-23 19:49:09+07:00,1,3000000.0,3502718.01
146745,2929879,3799,7665,2022-04-05 11:01:23+07:00,1,1.0,1.0
100564,2929885,3799,7665,2022-04-05 11:01:48+07:00,5,-1.0,0.0
100565,2929927,3799,7665,2022-04-05 11:02:54+07:00,1,50001.0,50001.0
148945,3375304,2212,5908,2022-04-24 16:58:49+07:00,1,95000.0,186021.95
121578,3436197,2212,5908,2022-04-28 14:10:04+07:00,1,205000.0,3783552.95
611993,188183805,7868,825,2023-07-10 15:28:25+07:00,5,-543000.0,591098.43
52289,188131488,11465,7639,2023-07-10 11:26:36+07:00,5,-44000.0,7306741.47
293327,188115138,7868,825,2023-07-10 09:55:17+07:00,5,-24000.0,1134098.43
52286,188121111,2604,13082,2023-07-10 10:32:36+07:00,5,-1000.0,9321440.06
285092,355169019,14602,13945,2024-09-11 22:32:02+07:00,1,2088000.0,9754484.59
121775,4935567,1922,2526,2022-05-24 21:44:55+07:00,1,500000.0,3509831.0
119329,3395992,5614,1207,2022-04-26 10:27:40+07:00,1,5000000.0,5000000.0
223148,287863922,10641,8538,2024-04-16 11:28:33+07:00,5,-400000.0,500391.69
203280,287863501,2623,6240,2024-04-16 11:25:00+07:00,5,-200000.0,3207929.61
316856,287877504,1035,6672,2024-04-16 13:14:51+07:00,5,-200000.0,163353.58
24143,4777539,2346,9437,2022-05-13 14:01:24+07:00,5,-1000000.0,1500000.32
24185,4871979,5614,1207,2022-05-20 08:02:40+07:00,5,-3000000.0,4140654.21
206430,354996987,3533,6228,2024-09-11 07:06:37+07:00,1,39094.0,18875864.32
123883,354997203,13507,9175,2024-09-11 07:07:01+07:00,1,26916.0,1240270.82
562313,287933169,2979,8562,2024-04-16 18:38:43+07:00,5,-50000.0,1350524.85
548364,287879627,20365,11071,2024-04-16 13:33:30+07:00,5,-50000.0,431131.24
116748,5116071,1922,2526,2022-06-01 00:04:02+07:00,4,,4509831.0
116749,5116077,1922,2526,2022-06-01 00:04:02+07:00,2,10985.94,4520816.94
116750,5116086,1922,2526,2022-06-01 00:04:02+07:00,7,-2197.19,4518619.75
316842,287831479,2979,8562,2024-04-16 06:09:08+07:00,1,50000.0,1400524.85
116151,5084823,5614,1207,2022-06-01 00:00:35+07:00,4,,10979654.21
116152,5084826,5614,1207,2022-06-01 00:00:35+07:00,2,17853.75,10997507.96
116153,5084829,5614,1207,2022-06-01 00:00:35+07:00,7,-3570.75,10993937.21
138286,17172581,2346,9437,2022-09-12 10:09:08+07:00,1,50000.0,3800473.01
295095,9309702,2212,5908,2022-07-05 13:22:10+07:00,1,1500000.0,1501419.68
23641,577182,2346,9437,2022-03-06 15:18:52+07:00,1,100000.0,2709999.69
23595,1408345,2346,9437,2022-03-20 22:45:13+07:00,5,-700000.0,1549999.69
23596,1408387,2346,9437,2022-03-20 22:52:57+07:00,1,1550000.0,3099999.69
23597,1408393,2346,9437,2022-03-20 22:53:30+07:00,5,-100000.0,2999999.69
45923,80294,1922,2526,2022-02-01 00:15:31+07:00,4,,200000.0
45924,80297,1922,2526,2022-02-01 00:15:31+07:00,2,46.42,200046.42
45925,80300,1922,2526,2022-02-01 00:15:31+07:00,7,-9.28,200037.14
45926,80306,2346,9437,2022-02-01 00:15:31+07:00,4,,0.0
45927,80312,2346,9437,2022-02-01 00:15:31+07:00,2,74.08,74.08
45928,80318,2346,9437,2022-02-01 00:15:31+07:00,7,-14.82,59.26
146813,1513780,2346,9437,2022-03-25 09:46:44+07:00,5,-1600000.0,1399999.69
223162,287955459,10641,8538,2024-04-16 21:02:40+07:00,5,-100000.0,400391.69
156854,130787,2346,9437,2022-02-19 00:10:35+07:00,1,425532.0,2425591.26
23479,130793,2346,9437,2022-02-19 00:11:19+07:00,1,75000.0,2500591.26
50255,94697,2212,5908,2022-02-05 11:26:04+07:00,1,100000.0,600000.0
154824,39431,1922,2526,2022-01-28 11:06:56+07:00,1,200000.0,200000.0
100543,2863246,2346,9437,2022-04-02 07:04:50+07:00,5,-200000.0,3552.17
394787,306820463,1035,6672,2024-06-01 00:30:25+07:00,4,,73771.32
23435,138047,2346,9437,2022-02-21 19:15:19+07:00,5,-2000000.0,500591.26
23436,138182,2346,9437,2022-02-21 20:07:08+07:00,1,160000.0,660591.26
23437,138200,2346,9437,2022-02-21 20:10:09+07:00,1,1840000.0,2500591.26
121344,506220,2212,5908,2022-03-01 01:01:20+07:00,4,,600000.0
121345,506229,2212,5908,2022-03-01 01:01:20+07:00,2,658.66,600658.66
121346,506235,2212,5908,2022-03-01 01:01:20+07:00,7,-131.73,600526.93
154462,816630,2346,9437,2022-03-07 18:23:52+07:00,5,-90000.0,1589999.69
154463,817269,2346,9437,2022-03-07 18:33:46+07:00,1,90000.0,1679999.69
179489,287837401,13507,9175,2024-04-16 07:19:13+07:00,1,26916.0,2442485.26
178959,287835244,6719,2109,2024-04-16 07:13:21+07:00,1,16853.0,2428316.06
503686,287836266,515,541,2024-04-16 07:16:06+07:00,1,20550.0,3145370.02
203834,287836716,6583,15414,2024-04-16 07:17:20+07:00,1,8142.0,3639850.07
223146,287844842,893,15169,2024-04-16 08:38:42+07:00,1,332000.0,6947496.87
579561,287836743,4090,11745,2024-04-16 07:17:26+07:00,1,7117.0,117956.96
203272,287836797,12429,10694,2024-04-16 07:17:35+07:00,1,22444.0,3208875.36
329986,287882617,15927,11920,2024-04-16 13:57:55+07:00,5,-41500.0,1189938.84
203849,287935007,19084,15442,2024-04-16 18:50:19+07:00,5,-72000.0,40193000.44
223157,287933102,15927,11920,2024-04-16 18:38:19+07:00,5,-5000.0,1184938.84
223144,287836864,1035,6672,2024-04-16 07:17:49+07:00,1,10779.0,363353.58
329976,287836173,19108,11284,2024-04-16 07:15:52+07:00,1,20169.0,887013.99
178962,287835522,15382,2864,2024-04-16 07:14:09+07:00,1,51000.0,14337377.39
316848,287836553,9718,10957,2024-04-16 07:16:53+07:00,1,17858.0,359251.43
121404,509379,1922,2526,2022-03-01 01:01:54+07:00,4,,37.14
121405,509382,1922,2526,2022-03-01 01:01:54+07:00,2,66.48,103.62
121406,509385,1922,2526,2022-03-01 01:01:54+07:00,7,-13.3,90.32
121410,509421,2346,9437,2022-03-01 01:01:54+07:00,4,,600000.26
121411,509427,2346,9437,2022-03-01 01:01:54+07:00,2,1501.79,601502.05
121412,509433,2346,9437,2022-03-01 01:01:54+07:00,7,-300.36,601201.69
146682,1526959,1922,2526,2022-03-26 09:00:50+07:00,1,500000.0,2500090.32
145154,1227399,2346,9437,2022-03-11 22:11:39+07:00,5,-50000.0,2129999.69
154482,1180773,2212,5908,2022-03-09 20:18:27+07:00,1,50000.0,1450526.93
23390,96428,2346,9437,2022-02-06 05:10:19+07:00,5,-850000.0,59.26
19359,34925,2346,9437,2022-01-26 15:41:53+07:00,1,425600.0,425600.0
108405,1203417,2346,9437,2022-03-10 17:48:14+07:00,1,800000.0,2179999.69
23672,1169430,2346,9437,2022-03-09 15:20:29+07:00,5,-500000.0,1379999.69
23645,751584,2346,9437,2022-03-07 05:47:14+07:00,5,-30000.0,2679999.69
100447,1272723,2212,5908,2022-03-14 23:16:23+07:00,1,1451044.0,1486570.93
103207,1269513,2212,5908,2022-03-14 18:13:34+07:00,1,40000.0,490526.93
145163,1269525,2212,5908,2022-03-14 18:15:29+07:00,5,-455000.0,35526.93
23490,144431,2346,9437,2022-02-24 05:51:27+07:00,5,-65000.0,1500000.26
101024,3486918,5614,1207,2022-05-01 00:00:28+07:00,4,,5000000.0
101590,3513984,1922,2526,2022-05-01 00:03:19+07:00,4,,4002718.01
101591,3513990,1922,2526,2022-05-01 00:03:19+07:00,2,8891.24,4011609.25
101592,3513993,1922,2526,2022-05-01 00:03:19+07:00,7,-1778.25,4009831.0
101593,3514035,2346,9437,2022-05-01 00:03:19+07:00,4,,1552.17
101594,3514041,2346,9437,2022-05-01 00:03:19+07:00,2,28.94,1581.11
101595,3514047,2346,9437,2022-05-01 00:03:20+07:00,7,-5.79,1575.32
40177,3451470,1922,2526,2022-04-28 17:09:10+07:00,1,500000.0,4002718.01
116751,5116158,2346,9437,2022-06-01 00:04:02+07:00,4,,2250000.32
116752,5116164,2346,9437,2022-06-01 00:04:03+07:00,2,4181.17,2254181.49
116753,5116170,2346,9437,2022-06-01 00:04:03+07:00,7,-836.23,2253345.26
301500,6701535,2346,9437,2022-06-16 17:42:42+07:00,5,-30000.0,270345.26
181319,6699822,5614,1207,2022-06-16 16:51:11+07:00,1,500000.0,9993937.21
295129,9426396,3799,7665,2022-07-11 12:54:10+07:00,1,300000.0,301004.53
102344,105189125,5614,1207,2023-04-30 22:21:38+07:00,1,2100000.0,21047209.94
149074,105171248,7868,825,2023-04-30 20:48:07+07:00,1,1854000.0,1878591.23
414528,105109991,3821,15923,2023-04-30 16:21:25+07:00,1,750000.0,5821329.58
414511,105023327,1922,2526,2023-04-30 09:28:35+07:00,1,4500000.0,4659720.32
102343,105188312,5614,1207,2023-04-30 22:16:42+07:00,5,-2750000.0,18947209.94
414530,105122279,2524,9210,2023-04-30 17:13:29+07:00,5,-100000.0,9212448.23
87788,105104780,2524,9210,2023-04-30 16:01:28+07:00,1,828000.0,9312448.23
154842,87518,2346,9437,2022-02-02 09:02:24+07:00,1,850000.0,850059.26
154844,88724,2212,5908,2022-02-02 17:31:44+07:00,1,500000.0,500000.0
145178,1338591,2212,5908,2022-03-15 16:43:14+07:00,1,5000.0,36570.93
45742,43604,2346,9437,2022-01-29 14:03:57+07:00,5,-425600.0,0.0
146706,1636042,2346,9437,2022-03-29 15:19:59+07:00,5,-500000.0,199999.69
156878,321821,2346,9437,2022-02-28 10:34:38+07:00,5,-500000.0,1000000.26
156879,321938,2346,9437,2022-02-28 10:49:33+07:00,5,-400000.0,600000.26
